SFID	sampleID	repeat	libID_cart02	libraryIDofCart	libraryIDofSubc	libraryIDofSynov
10	48	1	P2_194	WBJPE166284_154	WBJPE166285_147	
5	51	1	P2_077	WBJPE166284_78	WBJPE166285_65	
16	52	1	P2_234	WBJPE166284_162	WBJPE166285_143	
18	53	1	P2_208	WBJPE166284_128	WBJPE166285_77	
17	55	1	P2_196	WBJPE166284_156	WBJPE166285_132	
4	57	1	P2_099	WBJPE166284_99	WBJPE166285_87	
8	65	1	P2_199	WBJPE166284_159	WBJPE166285_142	
1	67	1	P2_206	WBJPE166284_126	WBJPE166285_62	
11	81	1	P2_047	WBJPE166284_47	WBJPE166285_69	
23	82	1	P2_039	WBJPE166284_39	WBJPE166285_84	
25	83	1	P2_040	WBJPE166284_40	WBJPE166285_75	
14	84	1	P2_046	WBJPE166284_46	WBJPE166285_82	
20	85	1	P2_045	WBJPE166284_45	WBJPE166285_78	
22	86	1	P2_224	WBJPE166284_144	WBJPE166285_88	
12	87	1	P2_030	WBJPE166284_30	WBJPE166285_61	
48	201	1	P2_223	WBJPE166284_143	WBJPE166285_70	WBJPE170452079
35	202	1	P2_227	WBJPE166284_147	WBJPE166285_60	WBJPE170452059
41	203	1	P2_027	WBJPE166284_27	WBJPE166285_58	WBJPE170452089
47	204	1	P2_228	WBJPE166284_148	WBJPE166285_52	WBJPE170452072
47	205	2	P2_101		WBJPE166285_106	
33	206	2	P2_074	WBJPE166284_101	WBJPE166285_43	
36	206	3	P2_215	WBJPE166284_123	WBJPE166285_83	WBJPE170452073
36	206	1	P2_069	WBJPE166284_69	WBJPE166285_51	WBJPE170452073
51	207	1	P2_028	WBJPE166284_28	WBJPE166285_59	WBJPE170452096
38	208	3	P2_226	WBJPE166284_122	WBJPE166285_41	WBJPE170452100
38	208	1	P2_051	WBJPE166284_146	WBJPE166285_41	WBJPE170452100
38	208	2	P2_202	WBJPE166284_51	WBJPE166285_41	WBJPE170452100
59	209	1	P2_112	WBJPE166284_104	WBJPE166285_76	WBJPE170452075
58	210	1	P2_025	WBJPE166284_25	WBJPE166285_55	WBJPE170452064
56	211	1	P2_100	WBJPE166284_100	WBJPE166285_93	WBJPE170452067
55	212	1	P2_079	WBJPE166284_71	WBJPE166285_64	WBJPE170452099
49	213	1	P2_213	WBJPE166284_133	WBJPE166285_71	WBJPE170452084
50	214	1	P2_048	WBJPE166284_48	WBJPE166285_73	WBJPE170452097
46	215	1	P2_113	WBJPE166284_113	WBJPE166285_121	WBJPE170452077
30	216	1	P2_024	WBJPE166284_24	WBJPE166285_54	WBJPE170452091
53	217	1	P2_042	WBJPE166284_42	WBJPE166285_85	WBJPE170452066
44	219	3	P2_043	WBJPE166284_136	WBJPE166285_86	WBJPE170452102
44	219	1	P2_070	WBJPE166284_43	WBJPE166285_86	WBJPE170452102
44	219	2	P2_216	WBJPE166284_70	WBJPE166285_86	WBJPE170452102
42	220	1	P2_225	WBJPE166284_145	WBJPE166285_50	
28	222	2	P2_098	WBJPE166284_132	WBJPE166285_68	WBJPE170452071
28	222	1	P2_212	WBJPE166284_98	WBJPE166285_68	WBJPE170452063
31	223	1	P2_193	WBJPE166284_139	WBJPE166285_145	WBJPE170452080
31	223	2	P2_219	WBJPE166284_153	WBJPE166285_145	WBJPE170452080
27	225	1	P2_217	WBJPE166284_138	WBJPE166285_42	WBJPE170452086
54	226	1	P2_207	WBJPE166284_127	WBJPE166285_144	WBJPE170452083
52	227	1	P2_026	WBJPE166284_26	WBJPE166285_56	WBJPE170452068
32	228	1	P2_044	WBJPE166284_44	WBJPE166285_74	WBJPE170452090
29	229	1	P2_023	WBJPE166284_23	WBJPE166285_47	WBJPE170452088
43	230	1	P2_073	WBJPE166284_73	WBJPE166285_72	WBJPE170452057
37	231	2	P2_116	WBJPE166284_116	WBJPE166285_109	
57	232	1	P2_229	WBJPE166284_149	WBJPE166285_94	
60	233	1	P2_198	WBJPE166284_158	WBJPE166285_131	WBJPE170452081
61	234	1	P2_195	WBJPE166284_155	WBJPE166285_153	WBJPE170452056
62	235	1	P2_108	WBJPE166284_108	WBJPE166285_91	WBJPE170452085
63	236	1	P2_107	WBJPE166284_107	WBJPE166285_45	WBJPE170452098
